@relation whatever

@attribute 'gender' {'man','woman'}
@attribute 'age' {'10','20','25','29','30','40','50'}
@attribute 'season' {'881','882','883','884'}
@attribute 'cost' {'49','50-99','100-199','200'}
@attribute 'day' {'551','552','553','554','555','556'}
@attribute 'whom' {'771','772','773','774','775','776'}
@attribute 'class' {'991','992','993','994','995','996'}


@data
'woman' , '10' , '881' , ? , ? , ? , '991' 
'woman' , '10' , '883' , ? , ? , ? , '991' 
'woman' , '10' , '883' , ? , ? , ? , '991' 
'woman' , '10' , '883' , ? , ? , ? , '992' 
'woman' , '10' , '883' , '50-99' , '552' , '775' , '991' 
'woman' , '10' , '884' , ? , ? , ? , '991' 
'woman' , '10' , '884' , ? , ? , ? , '993' 
'woman' , '20' , '881' , '49' , '551' , '772' , '991' 
'woman' , '20' , '881' , '200' , '554' , '774' , '992' 
'woman' , '20' , '881' , ? , ? , ? , '991' 
'woman' , '20' , '881' , ? , ? , ? , '991' 
'woman' , '20' , '881' , ? , ? , ? , '991' 
'woman' , '20' , '881' , ? , ? , ? , '991' 
'woman' , '20' , '881' , ? , ? , ? , '991' 
'woman' , '20' , '881' , ? , ? , ? , '991' 
'woman' , '20' , '881' , ? , ? , ? , '991' 
'woman' , '20' , '881' , ? , ? , ? , '991' 
'woman' , '20' , '881' , ? , ? , ? , '991' 
'woman' , '20' , '881' , ? , ? , ? , '991' 
'woman' , '20' , '881' , ? , ? , ? , '991' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '992' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , '993' 
'woman' , '20' , '881' , ? , ? , ? , ? 
'woman' , '20' , '881' , '100-199' , '553' , '771' , '992' 
'woman' , '20' , '881' , '50-99' , '552' , '774' , '991' 
'woman' , '20' , '881' , '50-99' , '552' , '774' , '991' 
'woman' , '20' , '881' , '50-99' , '554' , '774' , '993' 
'woman' , '20' , '882' , '49' , '552' , '772' , '991' 
'woman' , '20' , '882' , '49' , '552' , '774' , '991' 
'woman' , '20' , '882' , '49' , '554' , '774' , '991' 
'woman' , '20' , '882' , '49' , '552' , '775' , '991' 
'woman' , '20' , '882' , '49' , '552' , '775' , '991' 
'woman' , '20' , '882' , '200' , '553' , '771' , '992' 
'woman' , '20' , '882' , '200' , '554' , '771' , '993' 
'woman' , '20' , '882' , '200' , '554' , '771' , '995' 
'woman' , '20' , '882' , '200' , '554' , '772' , '996' 
'woman' , '20' , '882' , '200' , '552' , '773' , '992' 
'woman' , '20' , '882' , '200' , '553' , '774' , '992' 
'woman' , '20' , '882' , '200' , '554' , '774' , '992' 
'woman' , '20' , '882' , '200' , '553' , '775' , '991' 
'woman' , '20' , '882' , '200' , '553' , '776' , '992' 
'woman' , '20' , '882' , '200' , '554' , '776' , '992' 
'woman' , '20' , '882' , ? , ? , ? , '991' 
'woman' , '20' , '882' , ? , ? , ? , '991' 
'woman' , '20' , '882' , ? , ? , ? , '992' 
'woman' , '20' , '882' , ? , ? , ? , '992' 
'woman' , '20' , '882' , ? , ? , ? , '992' 
'woman' , '20' , '882' , ? , ? , ? , '992' 
'woman' , '20' , '882' , ? , ? , ? , '992' 
'woman' , '20' , '882' , ? , ? , ? , '992' 
'woman' , '20' , '882' , ? , ? , ? , '992' 
'woman' , '20' , '882' , ? , ? , ? , '992' 
'woman' , '20' , '882' , ? , ? , ? , '993' 
'woman' , '20' , '882' , '100-199' , '551' , '771' , '991' 
'woman' , '20' , '882' , '100-199' , '552' , '771' , '991' 
'woman' , '20' , '882' , '100-199' , '552' , '771' , '992' 
'woman' , '20' , '882' , '100-199' , '553' , '771' , '992' 
'woman' , '20' , '882' , '100-199' , '553' , '774' , '991' 
'woman' , '20' , '882' , '100-199' , '552' , '775' , '991' 
'woman' , '20' , '882' , '50-99' , '552' , '771' , '991' 
'woman' , '20' , '882' , '50-99' , '552' , '771' , '991' 
'woman' , '20' , '882' , '50-99' , '552' , '773' , '991' 
'woman' , '20' , '882' , '50-99' , '552' , '774' , '991' 
'woman' , '20' , '882' , '50-99' , '552' , '774' , '991' 
'woman' , '20' , '882' , '50-99' , '552' , '774' , '991' 
'woman' , '20' , '882' , '50-99' , '552' , '774' , '991' 
'woman' , '20' , '882' , '50-99' , '554' , '774' , '992' 
'woman' , '20' , '882' , '50-99' , '552' , '775' , '991' 
'woman' , '20' , '882' , '50-99' , '552' , '775' , '991' 
'woman' , '20' , '882' , '50-99' , '553' , '775' , '991' 
'woman' , '20' , '882' , '50-99' , '552' , '775' , '991' 
'woman' , '20' , '882' , '50-99' , '552' , '775' , '991' 
'woman' , '20' , '882' , '50-99' , '552' , '776' , '991' 
'woman' , '20' , '883' , '49' , '552' , '774' , '991' 
'woman' , '20' , '883' , ? , ? , ? , '991' 
'woman' , '20' , '883' , ? , ? , ? , '991' 
'woman' , '20' , '883' , ? , ? , ? , '991' 
'woman' , '20' , '883' , ? , ? , ? , '991' 
'woman' , '20' , '883' , ? , ? , ? , '991' 
'woman' , '20' , '883' , ? , ? , ? , '991' 
'woman' , '20' , '883' , ? , ? , ? , '991' 
'woman' , '20' , '883' , ? , ? , ? , '991' 
'woman' , '20' , '883' , ? , ? , ? , '991' 
'woman' , '20' , '883' , ? , ? , ? , '991' 
'woman' , '20' , '883' , ? , ? , ? , '992' 
'woman' , '20' , '883' , ? , ? , ? , '992' 
'woman' , '20' , '883' , ? , ? , ? , '992' 
'woman' , '20' , '883' , ? , ? , ? , '992' 
'woman' , '20' , '883' , ? , ? , ? , '992' 
'woman' , '20' , '883' , ? , ? , ? , '992' 
'woman' , '20' , '883' , ? , ? , ? , '992' 
'woman' , '20' , '883' , ? , ? , ? , '992' 
'woman' , '20' , '883' , ? , ? , ? , '993' 
'woman' , '20' , '883' , ? , ? , ? , '993' 
'woman' , '20' , '883' , ? , ? , ? , '993' 
'woman' , '20' , '883' , ? , ? , ? , '993' 
'woman' , '20' , '883' , ? , ? , ? , '993' 
'woman' , '20' , '883' , ? , ? , ? , '993' 
'woman' , '20' , '883' , ? , ? , ? , '993' 
'woman' , '20' , '883' , ? , ? , ? , '993' 
'woman' , '20' , '883' , ? , ? , ? , '993' 
'woman' , '20' , '883' , ? , ? , ? , '993' 
'woman' , '20' , '883' , ? , ? , ? , '993' 
'woman' , '20' , '883' , ? , ? , ? , '993' 
'woman' , '20' , '883' , '100-199' , '552' , '774' , '991' 
'woman' , '20' , '883' , '100-199' , '552' , '774' , '991' 
'woman' , '20' , '883' , '50-99' , '552' , '775' , '991' 
